Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
japanese-dragon-sleeve,Japanese Dragon Sleeve,"<p>Traditional Japanese dragon design perfect for full arm coverage. Features intricate detail work and classic Japanese aesthetic elements. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Japanese,Dragon,Sleeve,Traditional,Large,Best Seller",TRUE,Size,7 x 19 inch,,,,,TEMP-DRAGON-JPZ-001,50,shopify,50,deny,manual,299.00,,TRUE,TRUE,TEMP001,https://via.placeholder.com/800x800/000000/FFFFFF?text=Japanese+Dragon+Sleeve,1,Japanese Dragon Sleeve Temporary Tattoo,FALSE,Japanese Dragon Sleeve - Premium Temporary Tattoo | TEMPOINK™,Traditional Japanese dragon sleeve temporary tattoo that lasts 1-2 weeks. Professional quality design.,2047,unisex,adult,TEMP-DRAGON-JPZ-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Japanese+Dragon,g,,75,TRUE,,,TRUE,,,active
geisha-design,Geisha,"<p>Beautiful traditional Japanese geisha design with delicate features and flowing elements. Perfect for arm or back placement. Easy application with stunning results.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Japanese,Geisha,Traditional,Medium,On Sale",TRUE,Size,4 x 7 inch,,,,,TEMP-GEISHA-001,20,shopify,75,deny,manual,149.00,229.00,TRUE,TRUE,TEMP002,https://via.placeholder.com/800x800/000000/FFFFFF?text=Geisha+Design,1,Geisha Temporary Tattoo,FALSE,Geisha Design - Japanese Temporary Tattoo | TEMPOINK™,Beautiful geisha temporary tattoo with traditional Japanese styling. On sale now!,2047,unisex,adult,TEMP-GEISHA-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Geisha,g,,37,TRUE,,,TRUE,,,active
blazebone-skull,Blazebone,"<p>Fierce skull design with flame elements creating a powerful statement piece. Detailed artwork perfect for those who want an edgy look that commands attention.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Skull,Flames,Edgy,Medium,New",TRUE,Size,4 x 7 inch,,,,,TEMP-BLAZEBONE-001,20,shopify,30,deny,manual,229.00,,TRUE,TRUE,TEMP003,https://via.placeholder.com/800x800/000000/FFFFFF?text=Blazebone+Skull,1,Blazebone Skull and Flames Temporary Tattoo,FALSE,Blazebone - Skull & Flames Temporary Tattoo | TEMPOINK™,Edgy skull and flames design for bold temporary tattoo enthusiasts.,2047,unisex,adult,TEMP-BLAZEBONE-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Blazebone,g,,57,TRUE,,,TRUE,,,active
mystery-pack-3sleeve,3 Sleeve Mystery Pack,"<p>Get three surprise full sleeve designs at an amazing price! Each pack contains three different premium sleeve tattoos chosen from our best designs. Perfect for those who love variety and want to save money.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Tattoo Pack,"Mystery Pack,Sleeve,Bundle,Big Savings,Value",TRUE,Bundle Size,3 Sleeve Bundle,,,,,TEMP-MYSTERY-3SLEEVE-001,150,shopify,25,deny,manual,599.00,899.00,TRUE,TRUE,TEMP004,https://via.placeholder.com/800x800/000000/FFFFFF?text=3+Sleeve+Mystery+Pack,1,3 Sleeve Mystery Pack - Surprise Bundle,FALSE,3 Sleeve Mystery Pack - Save 33% | TEMPOINK™,Three premium sleeve tattoos at an unbeatable price. Surprise selection of our best designs.,2047,unisex,adult,TEMP-MYSTERY-3SLEEVE-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Mystery+Pack,g,,150,TRUE,,,TRUE,,,active
swooping-eagle,Swooping Eagle,"<p>Majestic eagle in flight with detailed featherwork and dynamic pose. Perfect for shoulder or chest placement. Symbolizes freedom and strength.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Eagle,Bird,Animals,Medium,New",TRUE,Size,4 x 7 inch,,,,,TEMP-EAGLE-001,20,shopify,40,deny,manual,229.00,,TRUE,TRUE,TEMP005,https://via.placeholder.com/800x800/000000/FFFFFF?text=Swooping+Eagle,1,Swooping Eagle Temporary Tattoo,FALSE,Swooping Eagle - Animal Temporary Tattoo | TEMPOINK™,Dynamic eagle design temporary tattoo representing freedom and power.,2047,unisex,adult,TEMP-EAGLE-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Eagle,g,,57,TRUE,,,TRUE,,,active
balanced-soul,Balanced Soul,"<p>Spiritual design featuring yin-yang elements with intricate mandala details. Perfect for those seeking balance and harmony in their body art.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Spiritual,Mandala,Balance,Large,Symbols,New",TRUE,Size,5.5 x 9 inch,,,,,TEMP-BALANCE-001,35,shopify,25,deny,manual,199.00,249.00,TRUE,TRUE,TEMP006,https://via.placeholder.com/800x800/000000/FFFFFF?text=Balanced+Soul,1,Balanced Soul Spiritual Temporary Tattoo,FALSE,Balanced Soul - Spiritual Temporary Tattoo | TEMPOINK™,Spiritual mandala design with yin-yang elements. Perfect for meditation and balance.,2047,unisex,adult,TEMP-BALANCE-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Balance,g,,50,TRUE,,,TRUE,,,active
viking-celtic,Viking Celtic,"<p>Traditional Celtic knotwork combined with Viking symbolism. Intricate design perfect for those who appreciate Norse culture and Celtic artistry.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Viking,Celtic,Traditional,Medium,Symbols,Best Seller",TRUE,Size,3 x 6 inch,,,,,TEMP-VIKING-001,15,shopify,60,deny,manual,189.00,,TRUE,TRUE,TEMP007,https://via.placeholder.com/800x800/000000/FFFFFF?text=Viking+Celtic,1,Viking Celtic Temporary Tattoo,FALSE,Viking Celtic - Traditional Temporary Tattoo | TEMPOINK™,Celtic knotwork with Viking symbols. Traditional design for heritage enthusiasts.,2047,unisex,adult,TEMP-VIKING-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Viking,g,,47,TRUE,,,TRUE,,,active
fallen-angel,Fallen Angel,"<p>Gothic angel design with dramatic wings and ethereal beauty. Perfect for back or shoulder placement. Stunning detail and shading work.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Angel,Gothic,Wings,Medium,Religious,Best Seller",TRUE,Size,4 x 7 inch,,,,,TEMP-ANGEL-001,20,shopify,35,deny,manual,229.00,,TRUE,TRUE,TEMP008,https://via.placeholder.com/800x800/000000/FFFFFF?text=Fallen+Angel,1,Fallen Angel Temporary Tattoo,FALSE,Fallen Angel - Gothic Temporary Tattoo | TEMPOINK™,Gothic angel design with beautiful wing detail. Perfect for dramatic body art.,2047,unisex,adult,TEMP-ANGEL-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Angel,g,,57,TRUE,,,TRUE,,,active
rose-bouquet,Rose Bouquet,"<p>Elegant bouquet of roses with thorns and leaves. Classic floral design that never goes out of style. Perfect for feminine or romantic looks.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Roses,Flowers,Feminine,Medium,Romantic",TRUE,Size,4 x 6 inch,,,,,TEMP-ROSES-001,18,shopify,45,deny,manual,199.00,,TRUE,TRUE,TEMP009,https://via.placeholder.com/800x800/000000/FFFFFF?text=Rose+Bouquet,1,Rose Bouquet Temporary Tattoo,FALSE,Rose Bouquet - Floral Temporary Tattoo | TEMPOINK™,Beautiful rose bouquet design perfect for romantic temporary tattoos.,2047,female,adult,TEMP-ROSES-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Roses,g,,50,TRUE,,,TRUE,,,active
tribal-lion,Tribal Lion,"<p>Powerful lion head in tribal style with bold lines and geometric patterns. Symbol of strength and courage in striking black design.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Lion,Tribal,Animals,Medium,Strength",TRUE,Size,4 x 5 inch,,,,,TEMP-LION-001,16,shopify,50,deny,manual,189.00,,TRUE,TRUE,TEMP010,https://via.placeholder.com/800x800/000000/FFFFFF?text=Tribal+Lion,1,Tribal Lion Temporary Tattoo,FALSE,Tribal Lion - Animal Temporary Tattoo | TEMPOINK™,Bold tribal lion design representing strength and courage.,2047,unisex,adult,TEMP-LION-001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Lion,g,,47,TRUE,,,TRUE,,,active
