Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
japanese-dragon-sleeve,"Japanese Dragon Sleeve","<p>Traditional Japanese dragon design perfect for full arm coverage. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Japanese, Dragon, Sleeve, Best Seller",TRUE,Size,7 x 19 inch,,,,,TMIK-0001,150,shopify,100,deny,manual,299.00,,TRUE,TRUE,TEMP001,https://via.placeholder.com/800x800/000000/FFFFFF?text=Japanese%20Dragon%20Sleeve,1,"Japanese Dragon Sleeve Temporary Tattoo",FALSE,"Japanese Dragon Sleeve - Premium Temporary Tattoo | TEMPOINK™","Traditional Japanese dragon design perfect for full arm coverage. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0001,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Japanese%20Dragon%20Sleeve,g,,75,TRUE,,,TRUE,,,active
geisha,"Geisha","<p>Beautiful traditional Japanese geisha design with delicate features. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Japanese, Geisha, On Sale",TRUE,Size,4 x 7 inch,,,,,TMIK-0002,20,shopify,75,deny,manual,149.00,229.00,TRUE,TRUE,TEMP002,https://via.placeholder.com/800x800/000000/FFFFFF?text=Geisha,1,"Geisha Temporary Tattoo",FALSE,"Geisha - Premium Temporary Tattoo | TEMPOINK™","Beautiful traditional Japanese geisha design with delicate features. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0002,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Geisha,g,,37,TRUE,,,TRUE,,,active
blazebone,"Blazebone","<p>Fierce skull design with flame elements creating a powerful statement piece. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Skull, Flames, New",TRUE,Size,4 x 7 inch,,,,,TMIK-0003,20,shopify,50,deny,manual,229.00,,TRUE,TRUE,TEMP003,https://via.placeholder.com/800x800/000000/FFFFFF?text=Blazebone,1,"Blazebone Temporary Tattoo",FALSE,"Blazebone - Premium Temporary Tattoo | TEMPOINK™","Fierce skull design with flame elements creating a powerful statement piece. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0003,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Blazebone,g,,57,TRUE,,,TRUE,,,active
swooping-eagle,"Swooping Eagle","<p>Majestic eagle in flight with detailed featherwork and dynamic pose. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Eagle, Animals, New",TRUE,Size,4 x 7 inch,,,,,TMIK-0004,20,shopify,50,deny,manual,229.00,,TRUE,TRUE,TEMP004,https://via.placeholder.com/800x800/000000/FFFFFF?text=Swooping%20Eagle,1,"Swooping Eagle Temporary Tattoo",FALSE,"Swooping Eagle - Premium Temporary Tattoo | TEMPOINK™","Majestic eagle in flight with detailed featherwork and dynamic pose. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0004,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Swooping%20Eagle,g,,57,TRUE,,,TRUE,,,active
balanced-soul,"Balanced Soul","<p>Spiritual design featuring yin-yang elements with intricate mandala details. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Spiritual, Mandala, New, On Sale",TRUE,Size,5.5 x 9 inch,,,,,TMIK-0005,35,shopify,50,deny,manual,199.00,249.00,TRUE,TRUE,TEMP005,https://via.placeholder.com/800x800/000000/FFFFFF?text=Balanced%20Soul,1,"Balanced Soul Temporary Tattoo",FALSE,"Balanced Soul - Premium Temporary Tattoo | TEMPOINK™","Spiritual design featuring yin-yang elements with intricate mandala details. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0005,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Balanced%20Soul,g,,50,TRUE,,,TRUE,,,active
viking-celtic,"Viking Celtic","<p>Traditional Celtic knotwork combined with Viking symbolism. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Viking, Celtic, Traditional, Best Seller",TRUE,Size,3 x 6 inch,,,,,TMIK-0006,15,shopify,100,deny,manual,189.00,,TRUE,TRUE,TEMP006,https://via.placeholder.com/800x800/000000/FFFFFF?text=Viking%20Celtic,1,"Viking Celtic Temporary Tattoo",FALSE,"Viking Celtic - Premium Temporary Tattoo | TEMPOINK™","Traditional Celtic knotwork combined with Viking symbolism. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0006,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Viking%20Celtic,g,,47,TRUE,,,TRUE,,,active
fallen-angel,"Fallen Angel","<p>Gothic angel design with dramatic wings and ethereal beauty. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Angel, Gothic, Best Seller",TRUE,Size,4 x 7 inch,,,,,TMIK-0007,20,shopify,100,deny,manual,229.00,,TRUE,TRUE,TEMP007,https://via.placeholder.com/800x800/000000/FFFFFF?text=Fallen%20Angel,1,"Fallen Angel Temporary Tattoo",FALSE,"Fallen Angel - Premium Temporary Tattoo | TEMPOINK™","Gothic angel design with dramatic wings and ethereal beauty. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0007,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Fallen%20Angel,g,,57,TRUE,,,TRUE,,,active
knight,"Knight","<p>Medieval knight design with intricate armor details. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Knight, Medieval, Best Seller",TRUE,Size,4 x 7 inch,,,,,TMIK-0008,20,shopify,100,deny,manual,229.00,,TRUE,TRUE,TEMP008,https://via.placeholder.com/800x800/000000/FFFFFF?text=Knight,1,"Knight Temporary Tattoo",FALSE,"Knight - Premium Temporary Tattoo | TEMPOINK™","Medieval knight design with intricate armor details. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0008,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Knight,g,,57,TRUE,,,TRUE,,,active
3-sleeve-mystery-pack,"3 Sleeve Mystery Pack","<p>Get three surprise full sleeve designs at an amazing price! Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Tattoo Pack,"Mystery Pack, Sleeve, Bundle, Big Savings",TRUE,Size,Bundle,,,,,TMIK-0009,150,shopify,25,deny,manual,599.00,899.00,TRUE,TRUE,TEMP009,https://via.placeholder.com/800x800/000000/FFFFFF?text=3%20Sleeve%20Mystery%20Pack,1,"3 Sleeve Mystery Pack Temporary Tattoo",FALSE,"3 Sleeve Mystery Pack - Premium Temporary Tattoo | TEMPOINK™","Get three surprise full sleeve designs at an amazing price! Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0009,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=3%20Sleeve%20Mystery%20Pack,g,,150,TRUE,,,TRUE,,,active
japanese-waves-sleeve,"Japanese Waves Sleeve","<p>Traditional Japanese wave pattern perfect for full sleeve coverage. Lasts 1-2 weeks with proper application.</p>",TEMPOINK™,Health & Beauty > Personal Care > Tattoos & Body Art,Temporary Tattoo,"Japanese, Waves, Sleeve, Best Seller",TRUE,Size,7 x 19 inch,,,,,TMIK-0010,150,shopify,100,deny,manual,299.00,,TRUE,TRUE,TEMP010,https://via.placeholder.com/800x800/000000/FFFFFF?text=Japanese%20Waves%20Sleeve,1,"Japanese Waves Sleeve Temporary Tattoo",FALSE,"Japanese Waves Sleeve - Premium Temporary Tattoo | TEMPOINK™","Traditional Japanese wave pattern perfect for full sleeve coverage. Professional quality temporary tattoo that lasts 1-2 weeks.",2047,unisex,adult,TMIK-0010,new,TRUE,https://via.placeholder.com/800x800/000000/FFFFFF?text=Japanese%20Waves%20Sleeve,g,,75,TRUE,,,TRUE,,,active
